	sequence	url	index	user	method	output	parameter	id
938	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/tags/tag/joomla']	http://192.168.56.105/index.php/component/tags/tag/joomla	10	wrong	get	titlei display facebooks could misused username password remember log forgot username forgot password		134
939	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101']	http://192.168.56.105/	0		get	uncategorised facebooks could misused username password remember log forgot username forgot password		135
940	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101']	http://192.168.56.105/index.php	1	wrong	post	warning username password match account yet usernamei passwordi remember log forgot password forgot username facebooks could misused username password remember log forgot username forgot password		135
941	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101']	http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101	2	wrong	get	please account verification code sent received verification code able choose new password account addressi facebooks could misused username password remember log forgot username forgot password		135
942	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101']	http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october	3	wrong	get	detail written category published premier league championship closed start new english topflight season window scottish club england league   europe top league also closed running english football league atkinson unattached port vale kwame thomas unattached doncaster english football league joseph dodoo unattached bolton facebooks could misused username password remember log forgot username forgot password		135
943	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101']	http://192.168.56.105/index.php/sport	4	wrong	get	detail written category published premier league championship closed start new english topflight season window scottish club england league   europe top league also closed running english football league atkinson unattached port vale kwame thomas unattached doncaster english football league joseph dodoo unattached bolton facebooks could misused username password remember log forgot username forgot password		135
944	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101']	http://192.168.56.105/index.php/travel	5	wrong	get	detail written category published larry bleiberg surrounded switzerland owned enclave bisingen hochrhein managed binational existence century switzerlandis national summer holidaymaker force flotilla raft canoe bob along rhine river sunbather lay grassy shore largely empty street occasional public bus rumble decorated festivity switzerlandis familiar red flag white cross itis perfect holiday scene except  nagging detail merrymaking marking anniversary switzerlandis confederation taking place spirit heart swiss ito make holiday itis attractivei explained roland gintert deputy mayor town bisingen hochrhein ithis something spirit heart swissi reason spot entirely surrounded switzerland make enclave exclave oddity trivia fan confounding everyone else german town bisingen hochrhein entirely surrounded switzerland credit dpa picture alliancealamy cartographically curious enclave territory section territory completely surrounded another entity prime example nation lesotho encircled south africa itis closely related exclave portion territory separated main another territory bisingen meet definition facebooks could misused username password remember log forgot username forgot password		135
945	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101']	http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity	6	wrong	get	detail written category published larry bleiberg surrounded switzerland owned enclave bisingen hochrhein managed binational existence century switzerlandis national summer holidaymaker force flotilla raft canoe bob along rhine river sunbather lay grassy shore largely empty street occasional public bus rumble decorated festivity switzerlandis familiar red flag white cross itis perfect holiday scene except  nagging detail merrymaking marking anniversary switzerlandis confederation taking place spirit heart swiss ito make holiday itis attractivei explained roland gintert deputy mayor town bisingen hochrhein ithis something spirit heart swissi reason spot entirely surrounded switzerland make enclave exclave oddity trivia fan confounding everyone else german town bisingen hochrhein entirely surrounded switzerland credit dpa picture alliancealamy cartographically curious enclave territory section territory completely surrounded another entity prime example nation lesotho encircled south africa itis closely related exclave portion territory separated main another territory bisingen meet definition facebooks could misused username password remember log forgot username forgot password		135
946	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101']	http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world	7	wrong	get	detail written category published libby bank buzzy artistic place planet  might expect libby bank explores actually make cultural hub assumption creativity individual genius truth big breakthrough also social process often occurring diverse population come together historically essential ingredient creating great art classical athens renaissance florence postwar new york swinging london artist go others follow recent decade process gentrification become well established academic richard florida popularised theory early creativity enables urban development bohemian artist move innercity workingclass abandoned industrial area cheaper accommodation studio space make place fun interesting middle class drawn openminded icommunities amenity come mexico sharjah belgrade dakar bangkok facebooks could misused username password remember log forgot username forgot password		135
947	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101']	http://192.168.56.105/index.php/component/tags/tag/joomla	8	wrong	get	titlei display facebooks could misused username password remember log forgot username forgot password		135
948	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101']	http://192.168.56.105/index.php/2-uncategorised/1-getting-started	9	wrong	get	detail written super user category uncategorised published easy get creating website knowing basic help content management system content management system software allows create manage webpage easily separating creation content mechanic required present web content stored database look feel created template brings together template content create web page logging use user name password created installation process loggedin able create edit modify creating loggedin new visible create new click link new interface give lot option need add title put something content area make easy find set state published edit existing clicking edit icon display user right edit template module look feel controlled template change name background colour highlight colour editing template click template user box around main content called module modify module current page moving cursor clicking edit link always sure save edit change name description clicking link advanced option template module available administrator administrator actually  separate site also called front end visitor see administrator also called back end used people managing access administrator clicking administrator link user visible adding administrator end domain name user name password used site learn much learn use create website envision learn much documentation forum uncategorised facebooks could misused username password remember log forgot username forgot password		135
949	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php/component/tags/tag/joomla', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started', 'http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101']	http://192.168.56.105/index.php/component/users/?view=remind&Itemid=101	10	wrong	get	please associated user account username emailed file addressi facebooks could misused username password remember log forgot username forgot password		135
950	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/']	http://192.168.56.105/	0		get	uncategorised facebooks could misused username password remember log forgot username forgot password		136
951	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/']	http://192.168.56.105/index.php	1	wrong	post	warning username password match account yet usernamei passwordi remember log forgot password forgot username facebooks could misused username password remember log forgot username forgot password		136
952	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/']	http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101	2	wrong	get	please account verification code sent received verification code able choose new password account addressi facebooks could misused username password remember log forgot username forgot password		136
953	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/']	http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october	3	wrong	get	detail written category published premier league championship closed start new english topflight season window scottish club england league   europe top league also closed running english football league atkinson unattached port vale kwame thomas unattached doncaster english football league joseph dodoo unattached bolton facebooks could misused username password remember log forgot username forgot password		136
954	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/']	http://192.168.56.105/index.php/sport	4	wrong	get	detail written category published premier league championship closed start new english topflight season window scottish club england league   europe top league also closed running english football league atkinson unattached port vale kwame thomas unattached doncaster english football league joseph dodoo unattached bolton facebooks could misused username password remember log forgot username forgot password		136
955	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/']	http://192.168.56.105/index.php/travel	5	wrong	get	detail written category published larry bleiberg surrounded switzerland owned enclave bisingen hochrhein managed binational existence century switzerlandis national summer holidaymaker force flotilla raft canoe bob along rhine river sunbather lay grassy shore largely empty street occasional public bus rumble decorated festivity switzerlandis familiar red flag white cross itis perfect holiday scene except  nagging detail merrymaking marking anniversary switzerlandis confederation taking place spirit heart swiss ito make holiday itis attractivei explained roland gintert deputy mayor town bisingen hochrhein ithis something spirit heart swissi reason spot entirely surrounded switzerland make enclave exclave oddity trivia fan confounding everyone else german town bisingen hochrhein entirely surrounded switzerland credit dpa picture alliancealamy cartographically curious enclave territory section territory completely surrounded another entity prime example nation lesotho encircled south africa itis closely related exclave portion territory separated main another territory bisingen meet definition facebooks could misused username password remember log forgot username forgot password		136
956	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/']	http://192.168.56.105/	6	wrong	get	uncategorised facebooks could misused username password remember log forgot username forgot password		136
957	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture']	http://192.168.56.105/	0		get	uncategorised facebooks could misused username password remember log forgot username forgot password		137
958	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture']	http://192.168.56.105/index.php	1	wrong	post	warning username password match account yet usernamei passwordi remember log forgot password forgot username facebooks could misused username password remember log forgot username forgot password		137
959	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture']	http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101	2	wrong	get	please account verification code sent received verification code able choose new password account addressi facebooks could misused username password remember log forgot username forgot password		137
960	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture']	http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october	3	wrong	get	detail written category published premier league championship closed start new english topflight season window scottish club england league   europe top league also closed running english football league atkinson unattached port vale kwame thomas unattached doncaster english football league joseph dodoo unattached bolton facebooks could misused username password remember log forgot username forgot password		137
961	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture']	http://192.168.56.105/index.php/sport	4	wrong	get	detail written category published premier league championship closed start new english topflight season window scottish club england league   europe top league also closed running english football league atkinson unattached port vale kwame thomas unattached doncaster english football league joseph dodoo unattached bolton facebooks could misused username password remember log forgot username forgot password		137
962	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture']	http://192.168.56.105/index.php/culture	5	wrong	get	detail written category published libby bank buzzy artistic place planet  might expect libby bank explores actually make cultural hub assumption creativity individual genius truth big breakthrough also social process often occurring diverse population come together historically essential ingredient creating great art classical athens renaissance florence postwar new york swinging london artist go others follow recent decade process gentrification become well established academic richard florida popularised theory early creativity enables urban development bohemian artist move innercity workingclass abandoned industrial area cheaper accommodation studio space make place fun interesting middle class drawn openminded icommunities amenity come mexico sharjah belgrade dakar bangkok facebooks could misused username password remember log forgot username forgot password		137
963	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/']	http://192.168.56.105/administrator/	0		get	administration username password log warning javascript must enabled proper operation administrator backend go page		138
964	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/']	http://192.168.56.105/administrator/index.php	1	wrong	post	administration warning username password match account yet username password log warning javascript must enabled proper operation administrator backend go page		138
965	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/']	http://192.168.56.105/administrator/	2	wrong	get	administration username password log warning javascript must enabled proper operation administrator backend go page forgot username		138
966	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/index.php?option=com_users&view=remind', 'http://192.168.56.105/', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101']	http://192.168.56.105/administrator/	0		get	administration username password log warning javascript must enabled proper operation administrator backend go page		139
967	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/index.php?option=com_users&view=remind', 'http://192.168.56.105/', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101']	http://192.168.56.105/administrator/index.php	1	wrong	post	administration warning username password match account yet username password log warning javascript must enabled proper operation administrator backend go page		139
968	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/index.php?option=com_users&view=remind', 'http://192.168.56.105/', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101']	http://192.168.56.105/index.php?option=com_users&view=remind	2	wrong	get	please associated user account username emailed file addressi facebooks could misused username password remember log forgot username forgot password		139
969	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/index.php?option=com_users&view=remind', 'http://192.168.56.105/', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101']	http://192.168.56.105/	3		get	warning empty password allowed usernamei passwordi remember log forgot password forgot username facebooks could misused username password remember log forgot username forgot password		139
970	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/index.php?option=com_users&view=remind', 'http://192.168.56.105/', 'http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101']	http://192.168.56.105/index.php/component/users/?view=reset&Itemid=101	4		get	please account verification code sent received verification code able choose new password account addressi facebooks could misused username password remember log forgot username forgot password		139
971	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/index.php?option=com_users&view=remind', 'http://192.168.56.105/', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/2-uncategorised?layout=', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started']	http://192.168.56.105/administrator/	0		get	administration username password log warning javascript must enabled proper operation administrator backend go page		140
972	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/index.php?option=com_users&view=remind', 'http://192.168.56.105/', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/2-uncategorised?layout=', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started']	http://192.168.56.105/administrator/index.php	1	wrong	post	administration warning username password match account yet username password log warning javascript must enabled proper operation administrator backend go page		140
973	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/index.php?option=com_users&view=remind', 'http://192.168.56.105/', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/2-uncategorised?layout=', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started']	http://192.168.56.105/index.php?option=com_users&view=remind	2	wrong	get	please associated user account username emailed file addressi facebooks could misused username password remember log forgot username forgot password		140
974	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/index.php?option=com_users&view=remind', 'http://192.168.56.105/', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/2-uncategorised?layout=', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started']	http://192.168.56.105/	3		get	warning empty password allowed usernamei passwordi remember log forgot password forgot username facebooks could misused username password remember log forgot username forgot password		140
975	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/index.php?option=com_users&view=remind', 'http://192.168.56.105/', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/2-uncategorised?layout=', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started']	http://192.168.56.105/index.php/travel	4		get	detail written category published larry bleiberg surrounded switzerland owned enclave bisingen hochrhein managed binational existence century switzerlandis national summer holidaymaker force flotilla raft canoe bob along rhine river sunbather lay grassy shore largely empty street occasional public bus rumble decorated festivity switzerlandis familiar red flag white cross itis perfect holiday scene except  nagging detail merrymaking marking anniversary switzerlandis confederation taking place spirit heart swiss ito make holiday itis attractivei explained roland gintert deputy mayor town bisingen hochrhein ithis something spirit heart swissi reason spot entirely surrounded switzerland make enclave exclave oddity trivia fan confounding everyone else german town bisingen hochrhein entirely surrounded switzerland credit dpa picture alliancealamy cartographically curious enclave territory section territory completely surrounded another entity prime example nation lesotho encircled south africa itis closely related exclave portion territory separated main another territory bisingen meet definition facebooks could misused username password remember log forgot username forgot password		140
976	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/index.php?option=com_users&view=remind', 'http://192.168.56.105/', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october', 'http://192.168.56.105/index.php/sport', 'http://192.168.56.105/index.php/culture/6-the-five-most-creative-cities-in-the-world', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/2-uncategorised?layout=', 'http://192.168.56.105/index.php/2-uncategorised/1-getting-started']	http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity	5		get	detail written category published larry bleiberg surrounded switzerland owned enclave bisingen hochrhein managed binational existence century switzerlandis national summer holidaymaker force flotilla raft canoe bob along rhine river sunbather lay grassy shore largely empty street occasional public bus rumble decorated festivity switzerlandis familiar red flag white cross itis perfect holiday scene except  nagging detail merrymaking marking anniversary switzerlandis confederation taking place spirit heart swiss ito make holiday itis attractivei explained roland gintert deputy mayor town bisingen hochrhein ithis something spirit heart swissi reason spot entirely surrounded switzerland make enclave exclave oddity trivia fan confounding everyone else german town bisingen hochrhein entirely surrounded switzerland credit dpa picture alliancealamy cartographically curious enclave territory section territory completely surrounded another entity prime example nation lesotho encircled south africa itis closely related exclave portion territory separated main another territory bisingen meet definition facebooks could misused username password remember log forgot username forgot password		140
